accuracy,f1,auc,sensitivity,specificity,brier,ece,model,feature_set,fold
0.7913793103448276,0.35978835978835977,0.6621060809914536,0.3008849557522124,0.9100642398286938,0.1599888894784416,0.08677937319052631,XGBoost,(c) +wavelet,0
0.7947454844006568,0.3961352657004831,0.713791193575187,0.2971014492753623,0.940552016985138,0.1533369426695336,0.047428546812880806,XGBoost,(c) +wavelet,1
0.7899022801302932,0.3645320197044335,0.627841661809125,0.3274336283185841,0.8942115768463074,0.16018468957345997,0.11977579630304624,XGBoost,(c) +wavelet,2
0.8135313531353136,0.5150214592274678,0.7779583077866339,0.42857142857142855,0.9291845493562232,0.13629182454497693,0.04524011118798563,XGBoost,(c) +wavelet,3
0.7855946398659966,0.3191489361702128,0.6609351988217969,0.26785714285714285,0.9051546391752577,0.15665908305564893,0.09325295117632229,XGBoost,(c) +wavelet,4
0.8051724137931034,0.0,0.6445206647590533,0.0,1.0,0.15703180246733434,0.012728396587296381,GPC,(c) +wavelet,0
0.7733990147783252,0.0,0.6707129450136927,0.0,1.0,0.17598037162725003,0.026970384031441752,GPC,(c) +wavelet,1
0.8159609120521173,0.0,0.592814371257485,0.0,1.0,0.15086959015886006,0.02647438352247969,GPC,(c) +wavelet,2
0.768976897689769,0.0,0.742274678111588,0.0,1.0,0.1787061488294015,0.03247664343111692,GPC,(c) +wavelet,3
0.8123953098827471,0.0,0.6239690721649485,0.0,1.0,0.15288594296823366,0.021835258448007072,GPC,(c) +wavelet,4
0.6551724137931034,0.38650306748466257,0.6948134391995604,0.5575221238938053,0.6788008565310493,0.2060073698221328,0.24586093892210836,Lasso-LR,(d) +fractal,0
0.7487684729064039,0.5080385852090032,0.7474229976306963,0.572463768115942,0.8004246284501062,0.17559387930690837,0.18165189141010876,Lasso-LR,(d) +fractal,1
0.6921824104234527,0.42900302114803623,0.7221486231077667,0.6283185840707964,0.7065868263473054,0.2051845852171783,0.2575086785018123,Lasso-LR,(d) +fractal,2
0.7293729372937293,0.5519125683060109,0.784549356223176,0.7214285714285714,0.7317596566523605,0.18901232458762865,0.2280800088828919,Lasso-LR,(d) +fractal,3
0.6683417085427136,0.37341772151898733,0.6937039764359352,0.5267857142857143,0.7010309278350515,0.20441911843414226,0.241108139429674,Lasso-LR,(d) +fractal,4
0.8137931034482758,0.11475409836065574,0.6253245153588145,0.061946902654867256,0.9957173447537473,0.15086166132770537,0.04968979086721923,K-NN,(d) +fractal,0
0.7963875205254516,0.18421052631578946,0.647773777654697,0.10144927536231885,1.0,0.1644843485305072,0.07444409511531247,K-NN,(d) +fractal,1
0.8289902280130294,0.1322314049586777,0.5777471605461643,0.07079646017699115,1.0,0.14904789303315014,0.07438664458936861,K-NN,(d) +fractal,2
0.8003300330033003,0.2389937106918239,0.7342581238503986,0.1357142857142857,1.0,0.15165085033837322,0.05174850292993441,K-NN,(d) +fractal,3
0.8123953098827471,0.06666666666666667,0.600681148748159,0.03571428571428571,0.9917525773195877,0.15113797663297832,0.052159210081425315,K-NN,(d) +fractal,4
0.8224137931034483,0.21374045801526717,0.6874988156373766,0.12389380530973451,0.9914346895074947,0.14009794687823235,0.0295938810710713,SVC-RBF,(d) +fractal,0
0.7898193760262726,0.1794871794871795,0.6651435428782425,0.10144927536231885,0.9915074309978769,0.15870998555169702,0.04677109350263475,SVC-RBF,(d) +fractal,1
0.8127035830618893,0.12213740458015267,0.6167664670658682,0.07079646017699115,0.9800399201596807,0.14606821047036994,0.05353546325798296,SVC-RBF,(d) +fractal,2
